model-1592346426,1592346619.911,0.67,0.2206,0.64,0.2146
model-1592346426,1592346621.395,0.57,0.2383,0.61,0.2271
model-1592346426,1592346622.766,0.63,0.2352,0.57,0.2442
model-1592346426,1592346624.352,0.57,0.2581,0.59,0.242
model-1592346426,1592346625.656,0.67,0.2122,0.62,0.2181
model-1592346426,1592346627.12,0.54,0.2598,0.62,0.237
model-1592346426,1592346628.794,0.64,0.2346,0.55,0.241
model-1592346426,1592346630.132,0.64,0.219,0.58,0.2424
model-1592346426,1592346631.482,0.67,0.2218,0.59,0.2207
model-1592346426,1592346632.829,0.59,0.2316,0.6,0.2396
model-1592346426,1592346634.187,0.65,0.2278,0.64,0.2309
model-1592346426,1592346635.507,0.69,0.2192,0.57,0.2341
model-1592346426,1592346636.837,0.6,0.2278,0.59,0.2498
model-1592346426,1592346638.141,0.58,0.2492,0.62,0.2307
model-1592346426,1592346639.546,0.61,0.2392,0.6,0.2343
model-1592346426,1592346640.931,0.66,0.2255,0.61,0.2211
model-1592346426,1592346642.275,0.62,0.2284,0.67,0.2215
model-1592346426,1592346643.831,0.64,0.2232,0.66,0.2285
model-1592346426,1592346645.299,0.6,0.2308,0.62,0.2275
model-1592346426,1592346646.616,0.61,0.2338,0.6,0.235
model-1592346426,1592346647.951,0.58,0.2389,0.64,0.2328
model-1592346426,1592346649.315,0.65,0.222,0.61,0.2239
model-1592346426,1592346650.65,0.6,0.232,0.62,0.2322
model-1592346426,1592346651.994,0.62,0.2346,0.62,0.2398
model-1592346426,1592346653.341,0.55,0.2486,0.57,0.2325
model-1592346426,1592346654.684,0.49,0.2638,0.61,0.2341
model-1592346426,1592346655.998,0.56,0.2394,0.67,0.2221
model-1592346426,1592346657.351,0.53,0.2443,0.66,0.2312
model-1592346426,1592346658.797,0.59,0.2322,0.71,0.2137
model-1592346426,1592346660.396,0.62,0.2245,0.64,0.2227
model-1592346426,1592346661.771,0.6,0.2257,0.64,0.2163
model-1592346426,1592346663.106,0.65,0.2295,0.59,0.2305
model-1592346426,1592346664.513,0.62,0.2247,0.54,0.2533
model-1592346426,1592346665.804,0.69,0.2196,0.61,0.2287
model-1592346426,1592346667.15,0.56,0.2394,0.59,0.2239
model-1592346426,1592346668.511,0.61,0.2198,0.66,0.2068
model-1592346426,1592346669.85,0.72,0.2083,0.65,0.2245
model-1592346426,1592346671.194,0.71,0.2115,0.5,0.2734
model-1592346426,1592346672.556,0.63,0.2153,0.54,0.2568
model-1592346426,1592346673.816,0.53,0.2591,0.65,0.2257
model-1592346426,1592346675.22,0.58,0.242,0.63,0.2138
model-1592346426,1592346676.775,0.5,0.2553,0.59,0.2428
model-1592346426,1592346678.155,0.65,0.2099,0.61,0.2352
model-1592346426,1592346679.479,0.65,0.2128,0.59,0.243
model-1592346426,1592346680.827,0.6,0.2363,0.6,0.2342
model-1592346426,1592346682.205,0.58,0.2243,0.65,0.2301
model-1592346426,1592346683.523,0.69,0.2131,0.62,0.2253
model-1592346426,1592346684.824,0.55,0.2524,0.58,0.2402
model-1592346426,1592346686.14,0.55,0.2306,0.62,0.2317
model-1592346426,1592346687.457,0.6,0.2286,0.69,0.2151
model-1592346426,1592346688.834,0.59,0.2334,0.61,0.2278
model-1592346426,1592346690.18,0.65,0.2219,0.57,0.2414
model-1592346426,1592346691.699,0.65,0.2247,0.66,0.233
model-1592346426,1592346693.15,0.62,0.2291,0.53,0.2554
model-1592346426,1592346694.441,0.58,0.2355,0.58,0.2302
model-1592346426,1592346695.831,0.62,0.2235,0.6,0.2383
model-1592346426,1592346697.131,0.65,0.2251,0.61,0.2216
model-1592346426,1592346698.428,0.7,0.2065,0.63,0.2197
model-1592346426,1592346699.723,0.66,0.2108,0.7,0.2209
model-1592346426,1592346701.163,0.61,0.2255,0.59,0.2512
model-1592346426,1592346702.559,0.65,0.2212,0.59,0.2457
model-1592346426,1592346703.916,0.56,0.2376,0.67,0.2263
model-1592346426,1592346705.28,0.69,0.2012,0.7,0.2158
model-1592346426,1592346706.557,0.62,0.2194,0.62,0.2232
model-1592346426,1592346708.16,0.6,0.235,0.67,0.2142
model-1592346426,1592346709.585,0.73,0.206,0.65,0.2182
model-1592346426,1592346710.885,0.61,0.2199,0.65,0.2151
model-1592346426,1592346712.162,0.64,0.2305,0.67,0.2055
model-1592346426,1592346713.443,0.6,0.2396,0.69,0.2049
model-1592346426,1592346714.804,0.64,0.2178,0.66,0.2078
model-1592346426,1592346716.119,0.63,0.2565,0.69,0.2142
model-1592346426,1592346717.406,0.68,0.2196,0.69,0.2142
model-1592346426,1592346718.692,0.69,0.2126,0.7,0.222
model-1592346426,1592346720.042,0.55,0.2281,0.63,0.2151
model-1592346426,1592346721.359,0.69,0.2075,0.67,0.2175
model-1592346426,1592346722.714,0.67,0.2206,0.64,0.2219
model-1592346426,1592346724.321,0.76,0.1925,0.6,0.2151
model-1592346426,1592346725.67,0.62,0.2117,0.54,0.2571
model-1592346426,1592346726.968,0.64,0.2101,0.65,0.2143
model-1592346426,1592346728.352,0.71,0.2003,0.64,0.2168
model-1592346426,1592346729.701,0.68,0.2311,0.68,0.1936
model-1592346426,1592346731.018,0.66,0.225,0.62,0.225
model-1592346426,1592346732.314,0.62,0.2233,0.7,0.1948
model-1592346426,1592346733.643,0.61,0.2347,0.62,0.2203
model-1592346426,1592346735.054,0.66,0.2091,0.63,0.2225
model-1592346426,1592346736.327,0.58,0.2351,0.74,0.1852
model-1592346426,1592346737.637,0.71,0.1959,0.67,0.2066
model-1592346426,1592346739.082,0.7,0.201,0.67,0.2191
model-1592346426,1592346740.672,0.59,0.2571,0.69,0.2073
model-1592346426,1592346742.005,0.6,0.2451,0.7,0.1958
model-1592346426,1592346743.31,0.65,0.2201,0.65,0.2101
model-1592346426,1592346744.688,0.6,0.2248,0.59,0.2279
model-1592346426,1592346746.048,0.69,0.2067,0.6,0.2539
model-1592346426,1592346747.35,0.55,0.2366,0.64,0.2342
model-1592346426,1592346748.682,0.55,0.2524,0.67,0.2203
model-1592346426,1592346750.041,0.67,0.2108,0.67,0.2298
model-1592346426,1592346751.422,0.65,0.2143,0.7,0.2057
model-1592346426,1592346752.294,0.62,0.2147,0.63,0.2241
model-1592346426,1592346753.71,0.61,0.2347,0.65,0.2208
model-1592346426,1592346755.145,0.65,0.225,0.71,0.2092
model-1592346426,1592346756.67,0.71,0.1965,0.65,0.208
model-1592346426,1592346758.022,0.68,0.2013,0.57,0.2294
model-1592346426,1592346759.349,0.69,0.209,0.67,0.2199
model-1592346426,1592346760.675,0.71,0.2009,0.65,0.2188
model-1592346426,1592346762.025,0.67,0.2179,0.66,0.2077
model-1592346426,1592346763.347,0.67,0.2074,0.67,0.2221
